date,channel,landing_page_views,cta_clicks,demo_attempts,feedback_responses,signups_or_testers,notes
2026-01-01,Class chat,28,8,5,2,1,Student users showed interest in beginner-friendly internship search
2026-01-02,QR poster,25,8,5,2,1,Users clicked CTA after seeing verified company badge message
2026-01-03,Instagram story,51,17,12,7,4,Some users wanted clearer application tracking explanation
2026-01-04,Facebook student group,47,13,9,4,3,Good channel for reaching ICT students and fresh graduates
2026-01-05,LinkedIn post,36,11,7,4,2,Users asked whether employer verification is real or simulated
2026-01-06,Email outreach,45,15,10,6,4,Feedback suggested improving mobile layout and filter labels
2026-01-07,TikTok short video,73,20,14,6,3,Strong interest from students looking for first internship
2026-01-08,University club group,26,8,6,3,2,Employer users liked applicant profile and resume reference feature
2026-01-09,Friend referral,21,7,4,2,1,Good awareness channel but lower demo attempts
2026-01-10,Campus notice board,26,7,4,2,1,Useful for collecting early prototype testers
2026-01-11,Class chat,37,11,7,4,2,Student users showed interest in beginner-friendly internship search
2026-01-12,QR poster,34,12,9,5,3,Users clicked CTA after seeing verified company badge message
2026-01-13,Instagram story,60,17,10,4,2,Some users wanted clearer application tracking explanation
2026-01-14,Facebook student group,56,17,11,6,4,Good channel for reaching ICT students and fresh graduates
2026-01-15,LinkedIn post,24,8,5,3,2,Users asked whether employer verification is real or simulated
2026-01-16,Email outreach,33,9,6,3,2,Feedback suggested improving mobile layout and filter labels
2026-01-17,TikTok short video,61,19,11,6,3,Strong interest from students looking for first internship
2026-01-18,University club group,35,12,8,4,3,Employer users liked applicant profile and resume reference feature
2026-01-19,Friend referral,30,8,5,2,1,Good awareness channel but lower demo attempts
2026-01-20,Campus notice board,35,11,8,4,3,Useful for collecting early prototype testers
2026-01-21,Class chat,46,16,10,6,3,Student users showed interest in beginner-friendly internship search
2026-01-22,QR poster,22,6,4,2,1,Users clicked CTA after seeing verified company badge message
2026-01-23,Instagram story,48,15,10,5,3,Some users wanted clearer application tracking explanation
2026-01-24,Facebook student group,44,15,11,6,4,Good channel for reaching ICT students and fresh graduates
2026-01-25,LinkedIn post,33,9,5,2,1,Users asked whether employer verification is real or simulated
2026-01-26,Email outreach,42,13,8,4,3,Feedback suggested improving mobile layout and filter labels
2026-01-27,TikTok short video,70,24,16,9,5,Strong interest from students looking for first internship
2026-01-28,University club group,44,12,9,4,3,Employer users liked applicant profile and resume reference feature
2026-01-29,Friend referral,18,6,4,2,1,Good awareness channel but lower demo attempts
2026-01-30,Campus notice board,23,8,5,3,2,Useful for collecting early prototype testers
2026-01-31,Class chat,34,10,7,3,2,Student users showed interest in beginner-friendly internship search
2026-02-01,QR poster,31,10,7,4,3,Users clicked CTA after seeing verified company badge message
2026-02-02,Instagram story,57,19,11,6,3,Some users wanted clearer application tracking explanation
2026-02-03,Facebook student group,53,15,10,4,3,Good channel for reaching ICT students and fresh graduates
2026-02-04,LinkedIn post,42,13,9,4,2,Users asked whether employer verification is real or simulated
2026-02-05,Email outreach,30,10,7,4,3,Feedback suggested improving mobile layout and filter labels
2026-02-06,TikTok short video,58,16,10,4,2,Strong interest from students looking for first internship
2026-02-07,University club group,32,10,6,3,2,Employer users liked applicant profile and resume reference feature
2026-02-08,Friend referral,27,9,6,3,2,Good awareness channel but lower demo attempts
2026-02-09,Campus notice board,32,9,6,3,2,Useful for collecting early prototype testers
2026-02-10,Class chat,43,13,8,4,2,Student users showed interest in beginner-friendly internship search
2026-02-11,QR poster,40,14,9,5,3,Users clicked CTA after seeing verified company badge message
2026-02-12,Instagram story,45,13,9,4,2,Some users wanted clearer application tracking explanation
2026-02-13,Facebook student group,41,13,9,4,3,Good channel for reaching ICT students and fresh graduates
2026-02-14,LinkedIn post,30,10,6,3,2,Users asked whether employer verification is real or simulated
2026-02-15,Email outreach,39,11,7,3,2,Feedback suggested improving mobile layout and filter labels
2026-02-16,TikTok short video,67,21,14,7,4,Strong interest from students looking for first internship
2026-02-17,University club group,41,14,10,6,4,Employer users liked applicant profile and resume reference feature
2026-02-18,Friend referral,36,10,6,3,2,Good awareness channel but lower demo attempts
2026-02-19,Campus notice board,20,6,4,2,1,Useful for collecting early prototype testers
