"EmployerID","Company Name","Industry","Email","Phone Number","Location","Company Description","Verification Status","Verified Badge","Website"
"EMP001","TechNova Labs","Software","hr@technova.com","+66-2-555-1001","Bangkok, Thailand","Builds cloud tools for startups and SMEs.","Verified","Yes","www.technova.com"
"EMP002","Creative Studio Co.","Design","hello@creativestudio.co","+66-2-555-1002","Bangkok, Thailand","A boutique design agency for branding and digital products.","Pending","No","www.creativestudio.co"
"EMP003","Future Solutions","IT Services","careers@futuresolutions.io","+66-2-555-1003","Nonthaburi, Thailand","Delivers custom software and support services for growing teams.","Verified","Yes","www.futuresolutions.io"
"EMP004","NextGen Startup","Startup","jobs@nextgenstartup.com","+66-2-555-1004","Remote","Early-stage product team hiring beginner-friendly talent.","Rejected","No","www.nextgenstartup.com"
"EMP005","BrightPath Media","Media & Publishing","talent@brightpath.media","+66-2-555-1005","Bangkok, Thailand","Digital content and media publishing company.","Verified","Yes","www.brightpath.media"
"EMP006","NorthStar Digital","Marketing","people@northstardigital.co","+66-2-555-1006","Pathum Thani, Thailand","Performance marketing agency working with consumer brands.","Verified","Yes","www.northstardigital.co"
"EMP007","GreenByte Systems","Software","careers@greenbyte.systems","+66-2-555-1007","Remote","Product team focused on workflow automation and SaaS.","Pending","No","www.greenbyte.systems"
"EMP008","FreshCart Commerce","E-commerce","team@freshcart.com","+66-2-555-1008","Bangkok, Thailand","Online retail company scaling storefront and marketplace operations.","Verified","Yes","www.freshcart.com"
"EMP009","Vision Health Tech","HealthTech","jobs@visionhealthtech.com","+66-2-555-1009","Chiang Mai, Thailand","Digital health platform for students and young professionals.","Verified","Yes","www.visionhealthtech.com"
"EMP010","PixelWave Agency","Creative Services","recruit@pixelwave.agency","+66-2-555-1010","Remote","Creative studio providing design, photography, and content support.","Pending","No","www.pixelwave.agency"
