"JobID","EmployerID","Job Title","Employment Type","Location","Salary or Allowance","Required Skills","Deadline","Status"
"JOB001","EMP001","Frontend Intern","Internship","Bangkok","18,000 THB / month","React; JavaScript; HTML","2026-08-20","Open"
"JOB002","EMP001","Junior Web Developer","Entry-Level","Bangkok","28,000 THB / month","React; Node.js; SQL","2026-08-18","Open"
"JOB003","EMP003","Backend Intern","Internship","Remote","15,000 THB / month","Python; Node.js; SQL","2026-08-22","Open"
"JOB004","EMP003","Junior Software Engineer","Entry-Level","Remote","30,000 THB / month","React; JavaScript; Problem Solving","2026-08-25","Open"
"JOB005","EMP005","Content Writing Intern","Internship","Bangkok","12,000 THB / month","Copywriting; SEO; Communication","2026-08-10","Open"
"JOB006","EMP005","Editorial Assistant","Entry-Level","Bangkok","22,000 THB / month","Copywriting; Communication; SEO","2026-08-12","Closed"
"JOB007","EMP006","Social Media Intern","Internship","Remote","14,000 THB / month","Social Media Marketing; Copywriting; Communication","2026-08-15","Open"
"JOB008","EMP006","Marketing Associate","Entry-Level","Remote","25,000 THB / month","SEO; Social Media Marketing; Data Analysis","2026-08-17","Open"
"JOB009","EMP008","E-commerce Intern","Internship","Bangkok","13,500 THB / month","Data Analysis; Communication; SEO","2026-08-19","Open"
"JOB010","EMP008","Marketplace Analyst","Entry-Level","Bangkok","26,000 THB / month","SQL; Data Analysis; Communication","2026-08-21","Open"
"JOB011","EMP009","UI/UX Intern","Internship","Chiang Mai","16,000 THB / month","Figma; UI Design; UX Research","2026-08-11","Open"
"JOB012","EMP009","Junior Product Designer","Entry-Level","Remote","29,000 THB / month","Figma; UI Design; UX Research","2026-08-20","Open"
"JOB013","EMP002","Graphic Design Intern","Internship","Bangkok","11,500 THB / month","Adobe Illustrator; Adobe Photoshop; Figma","2026-08-14","Open"
"JOB014","EMP002","Brand Designer","Entry-Level","Remote","27,000 THB / month","Adobe Illustrator; UI Design; Branding","2026-08-24","Open"
"JOB015","EMP010","Photography Intern","Internship","Bangkok","12,500 THB / month","Photography; Adobe Photoshop; Communication","2026-08-09","Open"
"JOB016","EMP010","Video Editing Assistant","Entry-Level","Remote","24,000 THB / month","Video Editing; Adobe Photoshop; Communication","2026-08-13","Open"
"JOB017","EMP007","QA Intern","Internship","Remote","15,500 THB / month","Problem Solving; SQL; Communication","2026-08-16","Open"
"JOB018","EMP007","Junior Data Analyst","Entry-Level","Remote","30,000 THB / month","SQL; Data Analysis; Python","2026-08-23","Open"
"JOB019","EMP004","Startup Operations Intern","Internship","Remote","10,000 THB / month","Communication; Problem Solving; Data Analysis","2026-08-07","Closed"
"JOB020","EMP004","Business Development Intern","Internship","Bangkok","12,000 THB / month","Communication; Social Media Marketing; SEO","2026-08-08","Open"
"JOB021","EMP001","UI Design Intern","Internship","Remote","15,000 THB / month","Figma; UI Design; Adobe Photoshop","2026-08-18","Open"
"JOB022","EMP003","IT Support Intern","Internship","Bangkok","11,000 THB / month","Communication; Problem Solving; SQL","2026-08-27","Open"
"JOB023","EMP008","Junior Frontend Developer","Entry-Level","Remote","32,000 THB / month","React; JavaScript; CSS","2026-08-26","Open"
"JOB024","EMP009","Content Coordinator","Entry-Level","Chiang Mai","23,000 THB / month","Copywriting; Communication; SEO","2026-08-28","Open"
"JOB025","EMP005","Photography Assistant","Internship","Bangkok","13,000 THB / month","Photography; Adobe Photoshop; Communication","2026-08-14","Open"
"JOB026","EMP006","SEO Intern","Internship","Remote","12,500 THB / month","SEO; Data Analysis; Copywriting","2026-08-19","Open"
"JOB027","EMP007","Product Intern","Internship","Remote","15,000 THB / month","Figma; Data Analysis; Problem Solving","2026-08-22","Open"
"JOB028","EMP010","Motion Graphics Intern","Internship","Remote","14,500 THB / month","Video Editing; Adobe Photoshop; Figma","2026-08-15","Open"
"JOB029","EMP002","Junior Designer","Entry-Level","Bangkok","26,500 THB / month","Adobe Illustrator; Figma; UI Design","2026-08-25","Open"
"JOB030","EMP001","Software QA Intern","Internship","Bangkok","13,500 THB / month","Problem Solving; SQL; Communication","2026-08-21","Open"
